Year,Contemporary,Mystery,Romantic,Historical,Fantasy,SciFi/Dystopian
2006,2,1,5,1,8,1
2007,4,3,4,0,5,2
2008,3,0,4,1,6,2
2009,4,1,4,0,7,1
2010,4,1,9,0,6,1
2011,1,0,10,0,9,5
2012,3,1,8,1,6,5
2013,3,0,5,1,7,4
2014,1,2,3,0,5,7
2015,4,0,8,0,5,2
2016,6,3,4,1,5,1
