Title,Author,Year,Contemporary,Mystery,Romantic,Historical,Fantasy,SciFi/Dystopia,Notes,Read
The Scorpio Races,Maggie Stiefvater,2012,n,n,y,n,y,n,,n
Where She Went,Gayle Forman,2012,y,n,y,n,n,n,"Personally, I didn't understand why the follow up to If I Stay was so popular, since I didn't think the original book was compelling enough by itself.",n
Abandon,Meg Cabot,2012,n,n,y,n,y,n,,n
Clockwork Angel,Cassandra Clare,2011,n,n,y,n,y,y,"What a surprise, another YA dystopian book in the post-Hunger Games world.",n
Mockingjay,Suzanne Collins,2011,n,n,y,n,y,y,"The end of the Hunger Games series was a little less than satisfying, but it was relieving. That was the last series that I ever read where I had to wait for the next book to be written.  Awaiting the continuation of narrative is a pain I appreciate largely from a nostalgic lens.",y
Crescendo,Becca Fitzpatrick,2011,n,n,y,n,y,n,,n
I Am Number Four,Pittacus Lore,2011,n,n,y,n,y,y,,n
The Iron King,Julie Kagawa,2011,n,n,y,n,y,n,,n
Matched,Ally Condie,2011,n,n,y,n,n,y,"Ugh. This book is the one that made me realize that the sudden proliferation in dystopian literature caused a sharp decrease in actual narrative quality. As a person, I'm generally opposed to not finishing books, and I did finish Matched, albeit with a few qualms. I bought the second and third books, but by halfway through the second, I realized that it was all pointless, the worldbuilding was mediocre, and I could probably guess the plot for the rest of the series.",y
Angel: A Maximum Ride Novel,James Patterson,2011,n,n,y,n,y,y,,n
Paranormalcy,Kiersten White,2011,n,n,y,n,y,n,,n
Before I Fall,Lauren Oliver,2011,y,n,y,n,y,n,"Sometimes I would conflate this book and ""If I Stay"", probably because they're both about post-car-crash life-or-death scenarios. I had previously found Lauren Oliver books to be hit-or-miss, so I decided to pass on this one. However, they made it into a movie this year, which I don't intend to watch. A book of Lauren Oliver's I did like was Delirium, since it had an interesting premise for a dystopia. However, its execution was mediocre and I never finished that series.",n
Nightshade,Andrea Cremer,2011,n,n,y,n,y,n,,n
Catching Fire,Suzanne Collins,2010,n,n,y,n,y,y,"The release of the second book in the Hunger Games series sparked the sale of various book-related merchandise. I bought two Hunger Games tees, both of which I still own. (It's not so much that I liked it two whole shirts worth, but they were having a sale as well.)",y
City of Glass,Cassandra Clare,2010,n,n,y,n,y,n,I really didn't realize that each book in this series was highly acclaimed.  Other dystopian series usually had their sequels fall off the top 10 unless the series was actually very compelling. See: City of Bones.,n
Heist Society,Ally Carter,2010,y,y,y,n,n,n,,n
Shiver,Maggie Stiefvater,2010,n,n,y,n,y,n,,n
"Hush, Hush",Becca Fitzpatrick,2010,n,n,y,n,y,n,,n
Beautiful Creatures,"Kami Garcia, Margaret Stohl",2010,n,n,y,n,y,n,,n
Along for the Ride,Sarah Dessen,2010,y,n,y,n,n,n,"Apparently, Sarah Dessen didn't live far from my high school, so after this book came out she visited my high school. A friend wanted me to go to get a book signed for her. I can't even remember if I did it or not, because I still found Sarah Dessen's stereotypically girly novels offensive to my taste.",n
If I Stay,Gayle Forman,2010,y,n,y,n,n,n,"I read part of this book in 2014 while sitting in the back of a Barnes and Noble. I probably read a chapter or two. I found it pretentious and shallow. They made a movie out of it despite my objections, and I haven't seen it, but I might just to skip to the ending.",n
Fire,Kristin Cashore,2010,n,n,y,n,y,n,,n
Wintergirls,Laurie Halse Anderson,2010,y,n,n,n,n,n,"This is one of the few contemporary YA books I ever liked--perhaps because it wasn't a romance, for once. Instead it was about two girls dealing with eating disorders, which I found poignant.",y
Paper Towns,John Green,2009,y,n,n,n,n,n,"This John Green book came out before I knew who John Green was. It's on my list of books to read now, though, especially because it became a movie, and I don't like to watch the movie before reading the book.",n
Breaking Dawn,Stephenie Meyer,2009,y,n,n,n,y,n,"I was so glad to finish the Twilight series, just because I needed a resolution to whatever happened in Eclipse, and because it let me join in on both thoughts and critiques about the series.",y
The Hunger Games,Suzanne Collins,2009,n,n,y,n,y,y,"While for most of 8th grade I refused to read this book because it had become popular, one of my friends in Latin class told me a bit about the plot and I figured I would give it a shot. I really liked it, and was glad that it sparked more dystopian novels for my age group--until I realized that none of them really measured up to this world and narrative.",y
City of Ashes,Cassandra Clare,2009,n,n,y,n,y,n,"It occurs to me that I might even like this book, but I've never read the summary. See: City of Bones.",n
Identical,Ellen Hopkins,2009,y,n,n,n,n,n,,n
The Graveyard Book,Neil Gaiman,2009,n,y,n,n,y,n,,n
Wake,Lisa McMann,2009,n,n,y,n,y,n,,n
Untamed,"P.C., Kristin Cast",2009,n,n,n,n,y,n,,n
The Disreputable History of Frankie Landau-Banks,E. Lockheart,2009,y,n,n,n,n,n,,n
Graceling,Kristin Cashore,2009,n,n,y,n,y,n,,n
Eclipse,Stephenie Meyer,2008,n,n,y,n,y,n,"I literally don't know what happens in this book. I read the entire Twilight series, and even half of one of the auxiliary books, but I honestly do not know what happens in this novel. I think the true testament to how important this book was to me is exemplified by the fact that I really don't even care to look up the summary.",y
Harry Potter and the Deathly Hallows,J.K. Rowling,2008,n,n,n,n,y,n,"It was really hard to accept the end of this era. It was the end of my childhood, it felt, since I had been reading the books since I was six years old. It was also the end of my time living in New York, as around the time this book was released, I learned that we would be moving.",y
Diary of a Wimpy Kid,Jeff Kinney,2008,y,n,n,n,n,n,"I really failed to comprehend the popularity of this book. It started off seeming to have a negative premise with a 4th-grade-like cover, which struck me as too childish for me, a thirteen year old.",n
Vampire Academy,Richelle Mead,2008,n,n,y,n,y,n,"One of the many post-Twilight vampire fiction series. I am just as confused now as I was then about the sudden spike in interest in vampires, because Twilight wasn't exactly the most revolutionary book.",n
Maximum Ride: Saving the World and Other Extreme Sports,James Patterson,2008,n,n,n,n,y,y,,n
City of Bones,Cassandra Clare,2008,n,n,y,n,y,n,"I never read this series, and by the time I noticed its existence, it was caught up in the flurry of post-Hunger Games dystopian series which, on average, all seemed to me to have the same plot and cover art.",n
The Sweet Far Thing,Libba Bray,2008,n,n,n,y,y,n,,n
Extras,Scott Westerfeld,2008,n,n,n,n,n,y,"Westerfeld's surprise 4th novel to the Uglies series was amazing. I loved the world he built and I was very happy to see what he thought the effects of dismantling the original dystopian system would be. However, since I was such an invested fan, I did probably have some qualms about some details.",y
Before I Die,Jenny Downham,2008,y,n,y,n,n,n,"I didn't read this book because I wasn't really interested in contemporary fiction, and especially not predictable dramas.",n
Twisted,Laurie Halse Anderson,2008,y,n,n,n,n,n,"I actually read this in 2015, and was disappointed because this author also wrote Wintergirls (2010), which I thought was a compelling book. However, when a friend recently saw this book on my shelf, they asked me about it, and even just by reading the synopsis aloud I ended up yelling ""This book has no plot!"" Therefore, I won't bore you with it.",y
New Moon,Stephenie Meyer,2007,n,n,y,n,y,n,"This book is unbearable to read. On one hand, I respect that the effect on the reader mirrors that of the main character. Still, the character was flat and it was another book in the Twilight series.",y
Just Listen,Sarah Dessen,2007,y,n,y,n,n,n,"Sarah Dessen's books seemed to have very gendered marketing, which I found deeply annoying. I didn't even want anyone to catch me looking at those books for fear I might appear like a stereotypical girl.",n
How to Ruin a Summer Vacation,Simone Elkeles,2007,y,n,y,n,n,n,"I was unaware of the existence of this book, which is fine, because I don't feel like I missed anything.",n
"Maximum Ride: Schools Out, Forever",James Patterson,2007,n,n,n,n,y,y,,n
Firegirl,Tony Abbott,2007,y,n,n,n,n,n,"In this book, which turns out to not be the sequel to Stargirl, the main character is a boy and the person of interest is a girl who sticks out from everyone else. So it still seems like the sequel to Stargirl, a novel I had to read for 6th grade literature.",n
All Hallows Eve,Vivian Vande Velde,2007,n,y,n,n,y,n,"My mother didn't let me read or watch anything spooky, because she did that as a child and gave herself nightmares. ",n
Life As We Knew It,Susan Beth Pfeffer,2007,n,n,n,n,n,y,"This wasn't my first dystopian series--Uglies was the first one I read. But this is one of the few YA dystopian series that I thought was actually well-conceived and well-written, perhaps because it was before Hunger Games made dystopian YA literature popular.",y
River Secrets,Shannon Hale,2007,n,n,y,n,y,n,,n
Bad Kitty,Michele Jaffe,2007,n,y,n,n,n,n,,n
Road of the Dead,Kevin Brooks,2007,y,y,n,n,y,n,,n
Harry Potter and the Half-Blood Prince,J.K. Rowling,2006,n,n,n,n,y,n,"Every time a Harry Potter book was released after 2001, my parents took my brother and me to the release party at the nearby Borders bookstore. (Little did I know Borders would not exist by 2011.)  He and I had capes and light-up wizard wands and all other sorts of things. ",y
Twilight,Stephenie Meyer,2006,n,n,y,n,y,n,"At first I didn't read it because of all the hype. But I was in 8th grade, so once I was invited to see the movie with friends, I couldn't pass up the opportunity to be included. By high school, the cool thing was to talk about how bad of a book Twilight is and how flawed the plot, writing, and characters are. At the same time, I also read all four books and saw the first two movies, while hating the onslaught of vampire fantasy novels that followed this book.",y
Eldest,Christopher Paolini,2006,n,n,n,n,y,n,"This is the third book in the Eragon series. I did not read this series. As a child, I considered myself very anti-fantasy. However, I also was a massive Harry Potter fan since I started reading it in 1st grade (2001). But when I saw that Eragon was popular, I decided not to read it, because I was a quite contrary child.",n
Rebel Angels,Libba Bray,2006,n,n,y,y,y,n,,n
Peeps,Scott Westerfeld,2006,n,n,n,n,y,y,"Written by Scott Westerfeld, this book is about something, probably. I loved Scott Westerfeld's Uglies series. He and Margaret Peterson Haddix were my favorite authors at the time because they wrote great Sci-Fi/Dystopian books that a 10-year-old could read. On the other hand, I loved the Uglies series so much that I feared not liking anything else Westerfeld wrote, especially since samples of this book were printed in the back of some of my Uglies books.",n
13 Little Blue Envelopes,Maureen Johnson,2006,y,n,y,n,n,n,"This book seemed to be presented in this aggressively ""girly"" context, and, since I always hated following imposed gender roles, I never touched this book. However, as a current fan of John Green, knowing that Maureen Johnson is his friend does make me consider revising my decision.",n
Poison,Chris Wooding,2006,n,y,n,n,y,n,,n
Captain Hook: The Adventures of a Notorious Youth,J.V. Hart,2006,n,n,n,n,y,n,"I was pretty proud of not having seen most Disney movies, and so even though I knew who Captain Hook was, I had no incentive to remember, let alone consider, this book.",n
"If I Have a Wicked Stepmother, Where's My Prince?",Melissa Kantor,2006,y,n,y,n,n,n,,n
Elsewhere,Gabrielle Zevin,2006,n,n,y,n,y,n,"Somehow, the summary already makes me think the main character is just being whiny, for which I have no sympathy. Even if she's being whiny because she died as a teenager.",n
